year,sex,type_of_course,no_of_graduates
2007,Females,Dentistry,15
2007,Females,Health Sciences,67
2007,Females,Information Technology,190
2007,Females,Architecture & Building,208
2007,Females,Engineering Sciences,1337
2007,Females,Services,0
2008,Males,Education,53
2008,Males,Applied Arts,31
2008,Males,Humanities & Social Sciences,478
2008,Males,Mass Communication,32
2008,Males,Accountancy,295
2008,Males,Business & Administration,505
2008,Males,Law,94
2008,Males,Natural Physical & Mathematical Sciences,469
2008,Males,Medicine,131
2008,Males,Dentistry,18
2008,Males,Health Sciences,10
2008,Males,Information Technology,308
2008,Males,Architecture & Building,148
2008,Males,Engineering Sciences,3150
2008,Males,Services,14
2008,Females,Education,172
2008,Females,Applied Arts,50
2008,Females,Humanities & Social Sciences,1203
2008,Females,Mass Communication,132
2008,Females,Accountancy,536
2008,Females,Business & Administration,960
2008,Females,Law,115
2008,Females,Natural Physical & Mathematical Sciences,796
2008,Females,Medicine,96
2008,Females,Dentistry,17
2008,Females,Health Sciences,77
2008,Females,Information Technology,210
2008,Females,Architecture & Building,243
2008,Females,Engineering Sciences,1386
2008,Females,Services,43
2009,Males,Education,67
2009,Males,Applied Arts,47
2009,Males,Humanities & Social Sciences,547
2009,Males,Mass Communication,36
2009,Males,Accountancy,346
2009,Males,Business & Administration,630
2009,Males,Law,92
2009,Males,Natural Physical & Mathematical Sciences,574
2009,Males,Medicine,122
2009,Males,Dentistry,12
2009,Males,Health Sciences,22
2009,Males,Information Technology,370
2009,Males,Architecture & Building,135
2009,Males,Engineering Sciences,2991
2009,Males,Services,13
2009,Females,Education,281
2009,Females,Applied Arts,88
2009,Females,Humanities & Social Sciences,1423
2009,Females,Mass Communication,128
2009,Females,Accountancy,596
2009,Females,Business & Administration,857
2009,Females,Law,118
2009,Females,Natural Physical & Mathematical Sciences,946
2009,Females,Medicine,97
2009,Females,Dentistry,19
2009,Females,Health Sciences,107
2009,Females,Information Technology,162
2009,Females,Architecture & Building,179
2009,Females,Engineering Sciences,1217
2009,Females,Services,36
2010,Males,Education,67
2010,Males,Applied Arts,84
2010,Males,Humanities & Social Sciences,703
2010,Males,Mass Communication,30
2010,Males,Accountancy,380
2010,Males,Business & Administration,674
2010,Males,Law,139
2010,Males,Natural Physical & Mathematical Sciences,568
2010,Males,Medicine,134
2010,Males,Dentistry,16
2010,Males,Health Sciences,39
2010,Males,Information Technology,419
2010,Males,Architecture & Building,97
2010,Males,Engineering Sciences,3117
2010,Males,Services,29
2010,Females,Education,262
2010,Females,Applied Arts,121
2010,Females,Humanities & Social Sciences,1474
2010,Females,Mass Communication,147
2010,Females,Accountancy,554
2010,Females,Business & Administration,859
2010,Females,Law,90
2010,Females,Natural Physical & Mathematical Sciences,1091
2010,Females,Medicine,94
2010,Females,Dentistry,25
2010,Females,Health Sciences,196
2010,Females,Information Technology,154
2010,Females,Architecture & Building,178
2010,Females,Engineering Sciences,1020
2010,Females,Services,35
2011,Males,Education,103
2011,Males,Applied Arts,84
2011,Males,Humanities & Social Sciences,708
2011,Males,Mass Communication,41
2011,Males,Accountancy,332
2011,Males,Business & Administration,633
2011,Males,Law,121
2011,Males,Natural Physical & Mathematical Sciences,619
2011,Males,Medicine,136
2011,Males,Dentistry,16
2011,Males,Health Sciences,42
2011,Males,Information Technology,388
2011,Males,Architecture & Building,121
2011,Males,Engineering Sciences,3060
2011,Males,Services,24
2011,Females,Education,303
2011,Females,Applied Arts,132
2011,Females,Humanities & Social Sciences,1772
2011,Females,Mass Communication,133
2011,Females,Accountancy,507
2011,Females,Business & Administration,944
2011,Females,Law,208
2011,Females,Natural Physical & Mathematical Sciences,1217
2011,Females,Medicine,119
2011,Females,Dentistry,26
2011,Females,Health Sciences,213
2011,Females,Information Technology,195
